"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023272","1922-03","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","13",",X","9",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","1.7",",X,11,","0",",,X,31,+","0",",T,X,11,","29.0",",,X,04,","20.6",",X,20,","1426.8","X","219.0",",X","86.7",",,,X","","","0",",T,,X","11.27",",X","14.49",",,,X","8.05",",,,X","","","","","",""
"USW00023272","1922-04","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",Z","0",",X","0",",Z","4",",Z","0",",Z","","","","","6.7",",X,15,+","0",",,X,30,+","0",",,X,30,+","11.2",",,X,12,","23.9",",Z,19,","1618.2","X","191.4",",Z","12.0",",,,X","","","0",",,,X","11.95",",X","15.72",",,,Z","8.19",",,,X","","","","","",""
"USW00023272","1922-05","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","7.9","X","7.9",",X","2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","8",",X","0",",X","","","","","6.7",",X,09,","0",",,X,31,+","0",",,X,31,+","7.6",",,X,19,","30.6",",X,14,","1746.2","X","128.0",",X","14.0",",,,X","","","0",",,,X","14.46",",X","18.99",",,,X","9.93",",,,X","","","","","",""
"USW00023272","1922-06","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","12.4","X","4.5",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","8",",X","0",",X","","","","","10.0",",X,21,+","0",",,X,30,+","0",",,X,30,+","6.1",",,X,09,","28.9",",X,24,+","1833.5","X","87.3",",X","6.6",",,,X","","","0",",,,X","15.57",",X","19.46",",,,X","11.69",",,,X","","","","","",""
"USW00023272","1922-07","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","12.4","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","","","","","10.0",",X,30,","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,18,+","23.3",",X,15,","83.3","X","83.3",",X","0.0",",T,,X","","","0",",,,X","15.65",",X","18.77",",,,X","12.52",",,,X","","","","","",""
"USW00023272","1922-08","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","16.0","X","3.6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","","","","","10.6",",X,09,+","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,27,","27.2",",X,31,","165.9","X","82.6",",X","0.0",",T,,X","","","0",",,,X","15.79",",X","19.58",",,,X","11.99",",,,X","","","","","",""
"USW00023272","1922-09","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","33.2","X","17.2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","16",",X","1",",X","","","","","11.1",",X,30,+","0",",,X,30,+","0",",,X,30,+","0.0",",T,X,26,","32.8",",X,08,","211.5","X","45.6",",X","0.0",",T,,X","","","0",",,,X","17.39",",X","21.98",",,,X","12.79",",,,X","","","","","",""
"USW00023272","1922-10","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","39.0","X","5.8",",X","9",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","","","1","","9.4",",X,25,","0",",,X,31,+","0",",,X,31,+","35.8",",,X,03,","27.2",",X,22,+","293.2","X","81.7",",X","75.1",",,,X","","","0",",,,X","15.88",",X","19.51",",,,X","12.25",",,,X","","","","","",""
"USW00023272","1922-11","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","39.0","X","0.0",",X","4",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","1","","6.1",",X,30,+","0",",,X,30,+","0",",,X,30,+","51.8",",,X,06,","18.3",",X,26,+","471.7","X","178.5",",X","95.8",",,,X","","","0",",,,X","12.38",",X","15.72",",,,X","9.04",",,,X","","","","","",""
"USW00023272","1922-12","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","39.0","X","0.0",",X","17",",X","15",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","5.0",",X,23,+","0",",,X,31,+","0",",,X,31,+","28.7",",,X,27,","16.1",",X,13,","719.4","X","247.7",",X","197.5",",,,X","","","0",",,,X","10.34",",X","12.97",",,,X","7.72",",,,X","","","","","",""
"USW00023272","1923-01","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","11",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","2.2",",X,30,","0",",,X,31,+","0",",,X,31,+","16.0",",,X,23,","14.4",",X,17,+","1010.7","X","291.3",",X","72.1",",,,X","","","0",",,,X","8.94",",X","11.73",",,,X","6.15",",,,X","","","","","",""
"USW00023272","1923-02","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","3.3",",X,02,+","0",",,X,28,+","0",",,X,28,+","16.5",",,X,11,","22.8",",X,27,","1210.1","X","199.4",",X","19.5",",,,X","","","0",",,,X","11.21",",X","15.03",",,,X","7.40",",,,X","","","","","",""
"USW00023272","1923-03","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","7.3","X","7.3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","","","","","6.7",",X,05,","0",",,X,31,+","0",",,X,31,+","0.5",",,X,02,","28.9",",X,27,","1359.6","X","149.5",",X","0.8",",,,X","","","0",",,,X","13.74",",X","18.26",",,,X","9.23",",,,X","","","","","",""
"USW00023272","1923-04","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","7.3","X","0.0",",X","8",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","","","","","7.8",",X,03,","0",",,X,30,+","0",",,X,30,+","51.6",",,X,04,","26.1",",X,14,","1508.5","X","148.9",",X","99.6",",,,X","","","0",",,,X","13.37",",X","16.92",",,,X","9.82",",,,X","","","","","",""
"USW00023272","1923-05","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","9.5","X","2.2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","","","","","8.3",",X,02,","0",",,X,31,+","0",",,X,31,+","1.0",",,X,29,","27.2",",X,14,","1644.9","X","136.4",",X","1.5",",,,X","","","0",",,,X","14.01",",X","17.82",",,,X","10.20",",,,X","","","","","",""
"USW00023272","1923-06","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","9.5","X","0.0",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","9.4",",X,03,+","0",",,X,30,+","0",",,X,30,+","0.8",",,X,23,","20.6",",X,24,","1775.0","X","130.1",",X","1.6",",,,X","","","0",",,,X","14.00",",X","17.28",",,,X","10.71",",,,X","","","","","",""
"USW00023272","1923-07","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","11.4","X","1.9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","","","","","10.6",",X,02,+","0",",,X,31,+","0",",,X,31,+","0.0",",,X,31,+","27.8",",X,27,","74.4","X","74.4",",X","0.0",",,,X","","","0",",,,X","16.00",",X","19.65",",,,X","12.35",",,,X","","","","","",""
"USW00023272","1923-08","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","17.8","X","6.4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","10",",X","0",",X","","","2","","11.1",",X,07,+","0",",,X,31,+","0",",,X,31,+","0.3",",,X,27,","28.3",",X,25,","137.8","X","63.4",",X","0.3",",,,X","","","0",",,,X","16.49",",X","20.04",",,,X","12.95",",,,X","","","","","",""
"USW00023272","1923-09","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","44.1","X","26.3",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","15",",X","0",",X","","","","","11.1",",X,10,+","0",",,X,30,+","0",",,X,30,+","8.1",",,X,25,","30.6",",X,05,","181.9","X","44.1",",X","11.2",",,,X","","","0",",,,X","17.74",",X","22.00",",,,X","13.48",",,,X","","","","","",""
"USW00023272","1923-10","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","58.8","X","14.7",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","14",",X","0",",X","","","","","10.0",",X,28,","0",",,X,31,+","0",",,X,31,+","6.9",",,X,06,","30.0",",X,19,","240.4","X","58.5",",X","12.8",",,,X","","","0",",,,X","16.92",",X","20.92",",,,X","12.92",",,,X","","","","","",""
"USW00023272","1923-11","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","59.7","X","0.9",",X","2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","13",",X","0",",X","","","","","10.6",",X,29,+","0",",,X,30,+","0",",,X,30,+","7.4",",,X,29,","25.6",",X,15,","310.8","X","70.4",",X","12.5",",,,X","","","0",",,,X","16.02",",X","20.09",",,,X","11.95",",,,X","","","","","",""
"USW00023272","1923-12","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","59.7","X","0.0",",X","8",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","5.6",",X,31,+","0",",,X,31,+","0",",,X,31,+","30.0",",,X,13,","18.3",",X,10,","550.8","X","240.0",",X","48.7",",,,X","","","0",",,,X","10.59",",X","13.64",",,,X","7.55",",,,X","","","","","",""
"USW00023272","1924-01","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","6",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","2.8",",X,02,","0",",,X,31,+","0",",,X,31,+","22.6",",,X,27,","18.3",",X,15,","805.1","X","254.3",",X","70.0",",,,X","","","0",",,,X","10.13",",X","13.66",",,,X","6.60",",,,X","","","","","",""
"USW00023272","1924-02","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","6",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","","","","","7.8",",X,03,","0",",,X,29,+","0",",,X,29,+","41.1",",,X,06,","22.8",",X,28,","932.7","X","127.6",",X","83.7",",,,X","","","0",",,,X","13.93",",X","17.80",",,,X","10.06",",,,X","","","","","",""
"USW00023272","1924-03","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","8",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","6.1",",X,24,+","0",",,X,31,+","0",",,X,31,+","25.7",",,X,02,","22.2",",X,12,","1113.5","X","180.8",",X","49.9",",,,X","","","0",",,,X","12.50",",X","16.13",",,,X","8.87",",,,X","","","","","",""
"USW00023272","1924-04","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","5.8","X","5.8",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","","","1","","8.3",",X,15,+","0",",,X,30,+","0",",,X,30,+","6.9",",,X,01,","30.0",",X,06,","1245.0","X","131.5",",X","7.7",",,,X","","","0",",,,X","14.15",",X","18.19",",,,X","10.10",",,,X","","","","","",""
"USW00023272","1924-05","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","16.6","X","10.8",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","","","","","8.3",",X,09,","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,21,+","31.1",",X,28,","1357.1","X","112.1",",X","0.0",",T,,X","","","0",",,,X","15.06",",X","18.95",",,,X","11.18",",,,X","","","","","",""
"USW00023272","1924-06","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","21.3","X","4.7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","","","","","10.6",",X,27,+","0",",,X,30,+","0",",,X,30,+","0.0",",,X,30,+","30.6",",X,20,","1448.0","X","90.9",",X","0.0",",,,X","","","0",",,,X","15.46",",X","19.19",",,,X","11.73",",,,X","","","","","",""
"USW00023272","1924-07","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","21.3","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","","","","","10.0",",X,07,","0",",,X,31,+","0",",,X,31,+","0.0",",,X,31,+","21.1",",X,31,","102.5","X","102.5",",X","0.0",",,,X","","","0",",,,X","15.03",",X","18.18",",,,X","11.88",",,,X","","","","","",""
"USW00023272","1924-08","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","21.3","X","0.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","","","","","11.1",",X,26,+","0",",,X,31,+","0",",,X,31,+","0.3",",,X,18,","21.7",",X,26,+","203.5","X","101.0",",X","0.3",",,,X","","","0",",,,X","15.07",",X","18.35",",,,X","11.79",",,,X","","","","","",""
"USW00023272","1924-09","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","37.1","X","15.8",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","13",",X","0",",X","","","","","10.6",",X,24,","0",",,X,30,+","0",",,X,30,+","0.0",",T,X,07,+","31.1",",X,11,","261.8","X","58.3",",X","0.0",",T,,X","","","0",",,,X","16.92",",X","21.35",",,,X","12.48",",,,X","","","","","",""
"USW00023272","1924-10","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","42.1","X","5.0",",X","10",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","","","","","8.9",",X,12,","0",",,X,31,+","0",",,X,31,+","22.9",",,X,27,","28.3",",X,02,","361.8","X","100.0",",X","75.8",",,,X","","","0",",,,X","15.27",",X","18.75",",,,X","11.79",",,,X","","","","","",""
"USW00023272","1924-11","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","42.1","X","0.0",",X","4",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","","","","","7.8",",X,11,","0",",,X,30,+","0",",,X,30,+","13.5",",,X,09,","22.8",",X,22,","500.3","X","138.5",",X","38.1",",,,X","","","0",",,,X","13.72",",X","17.20",",,,X","10.23",",,,X","","","","","",""
"USW00023272","1924-12","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","42.1","X","0.0",",X","14",",X","10",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","2.2",",X,26,+","0",",,X,31,+","0",",,X,31,+","72.4",",,X,21,","16.7",",X,08,+","795.6","X","295.3",",X","187.3",",,,X","","","0",",,,X","8.81",",X","11.38",",,,X","6.24",",,,X","","","","","",""
"USW00023272","1925-01","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","6",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","4.4",",X,09,","0",",,X,31,+","0",",,X,31,+","31.0",",,X,25,","18.9",",X,23,","1029.7","X","234.1",",X","41.2",",,,X","","","0",",,,X","10.78",",X","13.92",",,,X","7.65",",,,X","","","","","",""
"USW00023272","1925-02","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","14",",X","11",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","","","","","7.8",",X,17,+","0",",,X,28,+","0",",,X,28,+","35.1",",,X,12,","22.2",",X,27,","1182.5","X","152.8",",X","200.7",",,,X","","","0",",,,X","12.88",",X","15.75",",,,X","10.00",",,,X","","","","","",""
"USW00023272","1925-03","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","7",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","","","","","6.1",",X,11,","0",",,X,31,+","0",",,X,31,+","38.9",",,X,30,","26.1",",X,21,","1348.2","X","165.7",",X","66.9",",,,X","","","0",",,,X","12.99",",X","17.06",",,,X","8.91",",,,X","","","","","",""
"USW00023272","1925-04","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","2.2","X","2.2",",X","8",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","","","","","8.3",",X,21,+","0",",,X,30,+","0",",,X,30,+","34.0",",,X,04,","25.0",",X,14,","1484.7","X","136.5",",X","69.4",",,,X","","","0",",,,X","13.86",",X","17.23",",,,X","10.48",",,,X","","","","","",""
"USW00023272","1925-05","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","4.1","X","1.9",",X","11",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","","","","","8.9",",X,08,","0",",,X,31,+","0",",,X,31,+","34.0",",,X,12,","28.3",",X,02,","1590.3","X","105.6",",X","102.0",",,,X","","","0",",,,X","14.99",",X","18.47",",,,X","11.50",",,,X","","","","","",""
"USW00023272","1925-06","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","19.7","X","15.6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","2",",X","","","","","10.0",",X,15,","0",",,X,30,+","0",",,X,30,+","1.3",",,X,01,","35.0",",X,24,","1677.1","X","86.8",",X","1.3",",,,X","","","0",",,,X","15.96",",X","20.22",",,,X","11.70",",,,X","","","","","",""
"USW00023272","1925-07","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","23.3","X","3.6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","10",",X","0",",X","","","","","10.6",",X,31,+","0",",,X,31,+","0",",,X,31,+","1.5",",,X,04,","26.1",",X,16,","68.9","X","68.9",",X","1.5",",,,X","","","0",",,,X","16.22",",X","19.76",",,,X","12.69",",,,X","","","","","",""
